temperature_c,pressure_bar,vibration_hz,timestamp,quality_status,batch_id
68.84,112.14,41.92,2025-01-01 10:30:00,Approved,BATCH-8600
66.99,122.29,51.5,2025-01-01 10:45:00,Approved,BATCH-6166
55.21,107.66,54.66,2025-01-01 11:00:00,Approved,BATCH-9970
62.8,136.82,47.92,2025-01-01 11:15:00,Approved,BATCH-8545
65.39,120.0,53.5,2025-01-01 11:30:00,Approved,BATCH-2367
80.57,119.86,64.07,2025-01-01 11:45:00,Approved,BATCH-7247
73.44,115.08,49.48,2025-01-01 12:00:00,Approved,BATCH-4212
52.37,122.33,51.97,2025-01-01 12:15:00,Approved,BATCH-4268
73.24,132.38,46.31,2025-01-01 12:30:00,Approved,BATCH-2311
66.15,106.99,50.91,2025-01-01 12:45:00,Approved,BATCH-9996
63.23,110.13,52.3,2025-01-01 13:00:00,Approved,BATCH-2089
76.12,115.44,50.97,2025-01-01 13:15:00,Approved,BATCH-1547
80.31,99.81,44.9,2025-01-01 13:30:00,Approved,BATCH-4724
79.31,107.71,51.03,2025-01-01 13:45:00,Approved,BATCH-1906
61.61,112.86,57.31,2025-01-01 14:00:00,Approved,BATCH-2360
66.91,133.12,52.24,2025-01-01 14:15:00,Approved,BATCH-7965
73.31,123.94,54.81,2025-01-01 14:30:00,Approved,BATCH-7112
79.76,122.9,48.81,2025-01-01 14:45:00,Approved,BATCH-7830
65.21,132.76,53.75,2025-01-01 15:00:00,Approved,BATCH-9887
68.14,117.94,51.4,2025-01-01 15:15:00,Approved,BATCH-6604
58.94,125.86,45.25,2025-01-01 15:30:00,Approved,BATCH-7833
58.04,118.45,51.59,2025-01-01 15:45:00,Approved,BATCH-6367
78.13,123.98,45.04,2025-01-01 16:00:00,Approved,BATCH-8508
83.56,111.26,46.84,2025-01-01 16:15:00,Approved,BATCH-2295
69.28,83.42,50.95,2025-01-01 16:30:00,Defective (Low Pressure),BATCH-9332
80.04,117.99,51.49,2025-01-01 16:45:00,Approved,BATCH-8282
73.62,141.34,44.05,2025-01-01 17:00:00,Approved,BATCH-2492
63.55,133.89,55.27,2025-01-01 17:15:00,Approved,BATCH-8221
73.61,134.48,52.86,2025-01-01 17:30:00,Approved,BATCH-1195
85.38,138.54,46.48,2025-01-01 17:45:00,Approved,BATCH-9683
69.64,121.33,42.31,2025-01-01 18:00:00,Approved,BATCH-4225
85.65,122.96,49.28,2025-01-01 18:15:00,Approved,BATCH-8570
43.8,110.74,47.77,2025-01-01 18:30:00,Approved,BATCH-9365
78.22,115.26,50.57,2025-01-01 18:45:00,Approved,BATCH-2134
70.87,129.24,48.18,2025-01-01 19:00:00,Approved,BATCH-5247
67.01,138.06,39.96,2025-01-01 19:15:00,Approved,BATCH-9558
70.92,117.91,48.06,2025-01-01 19:30:00,Approved,BATCH-4509
50.12,113.25,48.47,2025-01-01 19:45:00,Approved,BATCH-9099
67.8,120.01,53.17,2025-01-01 20:00:00,Approved,BATCH-7195
73.57,129.02,46.51,2025-01-01 20:15:00,Approved,BATCH-4748
84.78,98.34,58.39,2025-01-01 20:30:00,Approved,BATCH-9495
64.82,85.56,40.44,2025-01-01 20:45:00,Defective (Low Pressure),BATCH-7741
61.92,111.74,56.56,2025-01-01 21:00:00,Approved,BATCH-7252
64.98,101.69,48.88,2025-01-01 21:15:00,Approved,BATCH-3637
79.15,112.38,54.3,2025-01-01 21:30:00,Approved,BATCH-6921
73.29,117.78,50.4,2025-01-01 21:45:00,Approved,BATCH-7530
64.7,113.2,55.7,2025-01-01 22:00:00,Approved,BATCH-2373
75.13,141.79,48.06,2025-01-01 22:15:00,Approved,BATCH-7939
70.97,124.9,44.51,2025-01-01 22:30:00,Approved,BATCH-7143
79.69,124.51,57.1,2025-01-01 22:45:00,Approved,BATCH-8000
62.98,129.33,49.43,2025-01-01 23:00:00,Approved,BATCH-2355
66.72,102.92,51.11,2025-01-01 23:15:00,Approved,BATCH-5778
66.08,135.59,56.17,2025-01-01 23:30:00,Approved,BATCH-8484
55.36,118.86,44.84,2025-01-01 23:45:00,Approved,BATCH-5698
72.96,130.06,52.98,2025-01-02 00:00:00,Approved,BATCH-2346
72.61,103.92,47.05,2025-01-02 00:15:00,Approved,BATCH-2895
70.05,96.69,49.34,2025-01-02 00:30:00,Approved,BATCH-6480
67.65,132.27,50.36,2025-01-02 00:45:00,Approved,BATCH-5233
55.85,125.65,42.5,2025-01-02 01:00:00,Approved,BATCH-1898
65.79,106.47,46.11,2025-01-02 01:15:00,Approved,BATCH-6750
66.57,106.96,56.76,2025-01-02 01:30:00,Approved,BATCH-7020
61.98,136.88,54.43,2025-01-02 01:45:00,Approved,BATCH-6532
68.39,102.16,49.69,2025-01-02 02:00:00,Approved,BATCH-9325
74.04,144.64,51.22,2025-01-02 02:15:00,Approved,BATCH-4683
88.86,106.49,48.53,2025-01-02 02:30:00,Approved,BATCH-4661
71.75,129.58,56.78,2025-01-02 02:45:00,Approved,BATCH-9477
72.58,115.07,49.0,2025-01-02 03:00:00,Approved,BATCH-2217
69.26,129.05,51.16,2025-01-02 03:15:00,Approved,BATCH-5578
50.81,111.84,55.73,2025-01-02 03:30:00,Approved,BATCH-7769
69.73,117.56,46.11,2025-01-02 03:45:00,Approved,BATCH-6238
70.6,120.61,57.79,2025-01-02 04:00:00,Approved,BATCH-9675
94.63,104.97,42.35,2025-01-02 04:15:00,Approved,BATCH-3953
68.08,131.11,58.15,2025-01-02 04:30:00,Approved,BATCH-7616
73.02,112.3,48.14,2025-01-02 04:45:00,Approved,BATCH-8338
69.65,116.57,48.79,2025-01-02 05:00:00,Approved,BATCH-7550
58.31,105.08,40.55,2025-01-02 05:15:00,Approved,BATCH-7542
81.43,81.56,47.73,2025-01-02 05:30:00,Defective (Low Pressure),BATCH-4483
77.52,117.13,44.8,2025-01-02 05:45:00,Approved,BATCH-5608
77.91,156.19,46.96,2025-01-02 06:00:00,Approved,BATCH-4380
60.91,131.77,49.31,2025-01-02 06:15:00,Approved,BATCH-3986
84.03,119.71,54.79,2025-01-02 06:30:00,Approved,BATCH-1958
55.98,116.06,51.04,2025-01-02 06:45:00,Approved,BATCH-4264
75.87,120.34,51.54,2025-01-02 07:00:00,Approved,BATCH-4616
91.9,128.21,44.52,2025-01-02 07:15:00,Approved,BATCH-5520
60.09,102.29,45.6,2025-01-02 07:30:00,Approved,BATCH-8075
64.34,136.71,58.99,2025-01-02 07:45:00,Approved,BATCH-5964
71.0,130.73,46.32,2025-01-02 08:00:00,Approved,BATCH-7636
64.97,130.77,58.28,2025-01-02 08:15:00,Approved,BATCH-7730
54.49,126.58,48.78,2025-01-02 08:30:00,Approved,BATCH-9121
70.69,120.29,50.01,2025-01-02 08:45:00,Approved,BATCH-7551
59.38,130.09,55.35,2025-01-02 09:00:00,Approved,BATCH-1088
74.74,128.88,56.36,2025-01-02 09:15:00,Approved,BATCH-1591
60.81,114.69,49.45,2025-01-02 09:30:00,Approved,BATCH-1824
85.5,111.4,48.06,2025-01-02 09:45:00,Approved,BATCH-8597
62.17,121.53,49.72,2025-01-02 10:00:00,Approved,BATCH-1178
66.78,143.24,51.69,2025-01-02 10:15:00,Approved,BATCH-1873
78.14,101.41,54.46,2025-01-02 10:30:00,Approved,BATCH-1568
57.69,97.99,50.02,2025-01-02 10:45:00,Approved,BATCH-2787
72.27,122.47,53.09,2025-01-02 11:00:00,Approved,BATCH-9221
83.07,120.76,58.19,2025-01-02 11:15:00,Approved,BATCH-1662
53.93,122.6,51.91,2025-01-02 11:30:00,Approved,BATCH-8536
71.85,123.66,51.56,2025-01-02 11:45:00,Approved,BATCH-1817
72.6,116.65,42.41,2025-01-02 12:00:00,Approved,BATCH-1639
77.82,142.35,36.85,2025-01-02 12:15:00,Approved,BATCH-2236
57.63,95.99,51.94,2025-01-02 12:30:00,Approved,BATCH-6719
56.8,107.57,49.53,2025-01-02 12:45:00,Approved,BATCH-2823
75.22,118.45,47.43,2025-01-02 13:00:00,Approved,BATCH-3428
72.97,95.35,51.22,2025-01-02 13:15:00,Approved,BATCH-1876
72.5,117.36,49.7,2025-01-02 13:30:00,Approved,BATCH-9361
73.46,144.92,55.64,2025-01-02 13:45:00,Approved,BATCH-2093
63.2,120.31,50.43,2025-01-02 14:00:00,Approved,BATCH-6033
72.32,123.46,46.27,2025-01-02 14:15:00,Approved,BATCH-6840
72.93,101.1,54.95,2025-01-02 14:30:00,Approved,BATCH-2467
62.86,110.75,48.91,2025-01-02 14:45:00,Approved,BATCH-1276
88.66,114.37,52.63,2025-01-02 15:00:00,Approved,BATCH-4796
74.74,115.23,47.61,2025-01-02 15:15:00,Approved,BATCH-3066
58.09,139.22,46.75,2025-01-02 15:30:00,Approved,BATCH-6905
76.57,128.37,50.42,2025-01-02 15:45:00,Approved,BATCH-2348
60.25,103.33,50.06,2025-01-02 16:00:00,Approved,BATCH-6263
77.87,123.7,52.4,2025-01-02 16:15:00,Approved,BATCH-2145
81.59,127.47,48.66,2025-01-02 16:30:00,Approved,BATCH-7678
61.79,137.1,40.82,2025-01-02 16:45:00,Approved,BATCH-6301
79.63,143.71,47.84,2025-01-02 17:00:00,Approved,BATCH-1495
74.13,104.77,53.97,2025-01-02 17:15:00,Approved,BATCH-7749
78.22,107.84,48.51,2025-01-02 17:30:00,Approved,BATCH-3584
88.97,101.14,48.77,2025-01-02 17:45:00,Approved,BATCH-2975
67.55,116.49,54.93,2025-01-02 18:00:00,Approved,BATCH-7502
62.46,127.0,46.44,2025-01-02 18:15:00,Approved,BATCH-9460
61.1,134.81,42.29,2025-01-02 18:30:00,Approved,BATCH-4986
61.84,118.86,49.2,2025-01-02 18:45:00,Approved,BATCH-5400
69.23,115.2,47.58,2025-01-02 19:00:00,Approved,BATCH-3236
73.41,122.28,45.17,2025-01-02 19:15:00,Approved,BATCH-8942
72.77,107.47,49.12,2025-01-02 19:30:00,Approved,BATCH-2303
78.27,151.34,52.46,2025-01-02 19:45:00,Approved,BATCH-3655
70.13,95.89,49.95,2025-01-02 20:00:00,Approved,BATCH-3378
84.54,122.77,51.53,2025-01-02 20:15:00,Approved,BATCH-5488
67.35,150.35,59.07,2025-01-02 20:30:00,Approved,BATCH-6030
97.2,120.1,48.29,2025-01-02 20:45:00,Defective (Heat Damage),BATCH-2302
76.26,117.15,51.39,2025-01-02 21:00:00,Approved,BATCH-5642
61.43,114.64,47.45,2025-01-02 21:15:00,Approved,BATCH-6296
59.29,117.29,45.77,2025-01-02 21:30:00,Approved,BATCH-5600
74.82,140.59,47.08,2025-01-02 21:45:00,Approved,BATCH-9030
67.77,86.82,47.61,2025-01-02 22:00:00,Defective (Low Pressure),BATCH-5366
77.14,143.0,51.8,2025-01-02 22:15:00,Approved,BATCH-4834
74.73,98.64,61.75,2025-01-02 22:30:00,Approved,BATCH-8245
69.27,116.0,46.42,2025-01-02 22:45:00,Approved,BATCH-7669
61.53,113.56,47.92,2025-01-02 23:00:00,Approved,BATCH-4966
54.85,128.83,49.68,2025-01-02 23:15:00,Approved,BATCH-8925
65.53,96.03,51.98,2025-01-02 23:30:00,Approved,BATCH-5953
78.56,126.93,51.32,2025-01-02 23:45:00,Approved,BATCH-5043
72.14,150.36,56.42,2025-01-03 00:00:00,Approved,BATCH-7115
57.54,99.55,37.87,2025-01-03 00:15:00,Approved,BATCH-8867
71.73,122.85,38.07,2025-01-03 00:30:00,Approved,BATCH-8676
73.85,110.07,47.52,2025-01-03 00:45:00,Approved,BATCH-4344
61.16,126.39,55.49,2025-01-03 01:00:00,Approved,BATCH-6774
71.54,120.29,42.17,2025-01-03 01:15:00,Approved,BATCH-2480
70.58,110.38,34.96,2025-01-03 01:30:00,Approved,BATCH-5449
58.57,127.32,52.86,2025-01-03 01:45:00,Approved,BATCH-2858
73.58,147.07,51.22,2025-01-03 02:00:00,Approved,BATCH-7170
75.61,117.14,44.55,2025-01-03 02:15:00,Approved,BATCH-6058
80.83,130.8,45.07,2025-01-03 02:30:00,Approved,BATCH-6565
80.54,100.6,45.15,2025-01-03 02:45:00,Approved,BATCH-9582
56.22,105.65,50.55,2025-01-03 03:00:00,Approved,BATCH-8851
60.62,127.09,46.87,2025-01-03 03:15:00,Approved,BATCH-3385
75.15,142.26,52.47,2025-01-03 03:30:00,Approved,BATCH-6224
75.14,125.33,35.73,2025-01-03 03:45:00,Approved,BATCH-1464
75.15,115.3,45.72,2025-01-03 04:00:00,Approved,BATCH-3974
108.53,119.99,44.37,2025-01-03 04:15:00,Defective (Heat Damage),BATCH-6662
75.71,101.24,48.72,2025-01-03 04:30:00,Approved,BATCH-5687
81.36,129.07,47.31,2025-01-03 04:45:00,Approved,BATCH-6905
79.54,133.23,53.99,2025-01-03 05:00:00,Approved,BATCH-3385
76.51,113.22,40.7,2025-01-03 05:15:00,Approved,BATCH-8704
66.85,112.95,50.23,2025-01-03 05:30:00,Approved,BATCH-2424
77.59,123.99,52.79,2025-01-03 05:45:00,Approved,BATCH-2549
62.27,113.45,59.28,2025-01-03 06:00:00,Approved,BATCH-8290
67.63,119.01,47.59,2025-01-03 06:15:00,Approved,BATCH-7127
65.15,151.5,51.62,2025-01-03 06:30:00,Approved,BATCH-5770
70.82,116.29,40.98,2025-01-03 06:45:00,Approved,BATCH-9989
93.15,114.62,38.04,2025-01-03 07:00:00,Approved,BATCH-6325
51.33,110.29,54.22,2025-01-03 07:15:00,Approved,BATCH-7577
76.86,131.16,49.97,2025-01-03 07:30:00,Approved,BATCH-8080
53.87,117.28,55.89,2025-01-03 07:45:00,Approved,BATCH-4176
65.28,110.26,43.13,2025-01-03 08:00:00,Approved,BATCH-7255
80.89,139.82,52.6,2025-01-03 08:15:00,Approved,BATCH-9589
70.64,141.29,59.34,2025-01-03 08:30:00,Approved,BATCH-6749
59.22,110.99,52.1,2025-01-03 08:45:00,Approved,BATCH-3386
62.85,92.0,51.38,2025-01-03 09:00:00,Approved,BATCH-7225
76.8,135.11,50.04,2025-01-03 09:15:00,Approved,BATCH-6487
62.7,109.73,42.15,2025-01-03 09:30:00,Approved,BATCH-2462
72.16,131.86,56.78,2025-01-03 09:45:00,Approved,BATCH-3937
70.46,90.45,46.95,2025-01-03 10:00:00,Approved,BATCH-3231
63.48,133.39,52.52,2025-01-03 10:15:00,Approved,BATCH-3886
91.44,101.83,42.18,2025-01-03 10:30:00,Approved,BATCH-7690
76.34,130.96,44.1,2025-01-03 10:45:00,Approved,BATCH-1942
49.75,120.21,57.18,2025-01-03 11:00:00,Approved,BATCH-9466
71.86,105.69,48.26,2025-01-03 11:15:00,Approved,BATCH-4713
63.38,113.89,57.27,2025-01-03 11:30:00,Approved,BATCH-5656
78.52,130.29,49.61,2025-01-03 11:45:00,Approved,BATCH-3327
62.07,121.59,40.79,2025-01-03 12:00:00,Approved,BATCH-9860
68.85,128.77,54.46,2025-01-03 12:15:00,Approved,BATCH-6554
75.05,149.65,47.05,2025-01-03 12:30:00,Approved,BATCH-1117
78.66,96.54,53.49,2025-01-03 12:45:00,Approved,BATCH-4099
58.0,144.26,50.13,2025-01-03 13:00:00,Approved,BATCH-3085
66.65,121.57,42.28,2025-01-03 13:15:00,Approved,BATCH-2796
65.25,106.52,50.82,2025-01-03 13:30:00,Approved,BATCH-5545
63.47,100.05,60.98,2025-01-03 13:45:00,Approved,BATCH-2668
87.65,117.16,52.46,2025-01-03 14:00:00,Approved,BATCH-4384
74.05,133.82,49.71,2025-01-03 14:15:00,Approved,BATCH-3926
57.39,118.09,55.38,2025-01-03 14:30:00,Approved,BATCH-7832
79.18,142.67,51.05,2025-01-03 14:45:00,Approved,BATCH-2743
91.22,98.23,51.05,2025-01-03 15:00:00,Approved,BATCH-6485
80.32,119.82,44.54,2025-01-03 15:15:00,Approved,BATCH-5859
54.81,101.21,51.17,2025-01-03 15:30:00,Approved,BATCH-9584
65.16,125.45,55.18,2025-01-03 15:45:00,Approved,BATCH-5987
82.67,133.3,45.82,2025-01-03 16:00:00,Approved,BATCH-1088
62.92,113.69,57.12,2025-01-03 16:15:00,Approved,BATCH-8162
74.44,80.94,49.54,2025-01-03 16:30:00,Defective (Low Pressure),BATCH-2155
77.75,122.98,45.56,2025-01-03 16:45:00,Approved,BATCH-1449
60.73,126.55,54.99,2025-01-03 17:00:00,Approved,BATCH-4582
69.4,126.06,48.57,2025-01-03 17:15:00,Approved,BATCH-8035
37.59,138.54,53.8,2025-01-03 17:30:00,Approved,BATCH-1968
59.76,103.93,48.54,2025-01-03 17:45:00,Approved,BATCH-4993
67.47,130.2,49.7,2025-01-03 18:00:00,Approved,BATCH-3954
57.52,137.89,52.47,2025-01-03 18:15:00,Approved,BATCH-1725
86.32,93.32,51.45,2025-01-03 18:30:00,Approved,BATCH-2733
55.7,124.79,40.02,2025-01-03 18:45:00,Approved,BATCH-8660
65.6,112.44,44.39,2025-01-03 19:00:00,Approved,BATCH-3765
71.31,118.78,54.65,2025-01-03 19:15:00,Approved,BATCH-6789
84.41,125.22,49.34,2025-01-03 19:30:00,Approved,BATCH-5359
55.64,112.69,47.38,2025-01-03 19:45:00,Approved,BATCH-6437
81.63,109.86,43.21,2025-01-03 20:00:00,Approved,BATCH-3586
70.1,120.51,44.6,2025-01-03 20:15:00,Approved,BATCH-7027
60.18,103.69,39.89,2025-01-03 20:30:00,Approved,BATCH-7508
74.62,103.71,49.49,2025-01-03 20:45:00,Approved,BATCH-5831
71.99,130.19,47.01,2025-01-03 21:00:00,Approved,BATCH-5630
64.0,102.77,45.17,2025-01-03 21:15:00,Approved,BATCH-2309
70.7,129.99,49.66,2025-01-03 21:30:00,Approved,BATCH-6954
66.15,126.94,51.82,2025-01-03 21:45:00,Approved,BATCH-8104
71.14,94.11,60.47,2025-01-03 22:00:00,Approved,BATCH-4318
76.62,109.84,42.44,2025-01-03 22:15:00,Approved,BATCH-8665
85.86,137.91,55.8,2025-01-03 22:30:00,Approved,BATCH-7152
57.62,105.28,54.87,2025-01-03 22:45:00,Approved,BATCH-5795
91.33,113.03,46.1,2025-01-03 23:00:00,Approved,BATCH-8967
50.48,126.93,51.02,2025-01-03 23:15:00,Approved,BATCH-5971
68.48,131.75,47.71,2025-01-03 23:30:00,Approved,BATCH-7276
75.88,116.23,50.93,2025-01-03 23:45:00,Approved,BATCH-8066
72.81,111.04,57.55,2025-01-04 00:00:00,Approved,BATCH-9351
63.77,141.34,53.03,2025-01-04 00:15:00,Approved,BATCH-4026
67.92,146.08,52.54,2025-01-04 00:30:00,Approved,BATCH-6286
65.07,134.68,47.85,2025-01-04 00:45:00,Approved,BATCH-4998
64.11,121.28,42.58,2025-01-04 01:00:00,Approved,BATCH-8748
78.5,107.88,48.96,2025-01-04 01:15:00,Approved,BATCH-6475
73.57,107.54,56.03,2025-01-04 01:30:00,Approved,BATCH-5947
63.07,127.84,42.36,2025-01-04 01:45:00,Approved,BATCH-5314
79.0,126.28,44.72,2025-01-04 02:00:00,Approved,BATCH-7446
73.07,141.02,50.63,2025-01-04 02:15:00,Approved,BATCH-3862
78.13,129.76,45.08,2025-01-04 02:30:00,Approved,BATCH-2491
76.3,97.45,46.04,2025-01-04 02:45:00,Approved,BATCH-1315
61.71,135.78,47.88,2025-01-04 03:00:00,Approved,BATCH-6709
64.4,105.03,43.17,2025-01-04 03:15:00,Approved,BATCH-9130
77.47,114.24,45.13,2025-01-04 03:30:00,Approved,BATCH-3374
76.1,123.75,53.52,2025-01-04 03:45:00,Approved,BATCH-8355
69.79,149.94,43.46,2025-01-04 04:00:00,Approved,BATCH-4877
71.17,166.65,42.01,2025-01-04 04:15:00,Approved,BATCH-1504
82.78,129.1,46.85,2025-01-04 04:30:00,Approved,BATCH-4003
64.08,117.25,53.66,2025-01-04 04:45:00,Approved,BATCH-7553
75.47,128.02,49.02,2025-01-04 05:00:00,Approved,BATCH-1255
67.98,133.31,47.68,2025-01-04 05:15:00,Approved,BATCH-8749
67.82,115.19,50.22,2025-01-04 05:30:00,Approved,BATCH-7353
80.99,146.93,41.27,2025-01-04 05:45:00,Approved,BATCH-8325
78.25,123.45,52.47,2025-01-04 06:00:00,Approved,BATCH-7003
78.14,127.47,51.92,2025-01-04 06:15:00,Approved,BATCH-7218
83.05,129.99,47.95,2025-01-04 06:30:00,Approved,BATCH-5368
70.21,126.32,55.03,2025-01-04 06:45:00,Approved,BATCH-6590
76.82,132.58,44.36,2025-01-04 07:00:00,Approved,BATCH-8865
66.9,110.74,55.64,2025-01-04 07:15:00,Approved,BATCH-5045
73.24,111.63,50.77,2025-01-04 07:30:00,Approved,BATCH-7628
68.7,103.5,48.32,2025-01-04 07:45:00,Approved,BATCH-2872
70.97,126.59,49.9,2025-01-04 08:00:00,Approved,BATCH-3890
75.95,131.68,49.46,2025-01-04 08:15:00,Approved,BATCH-6212
61.82,126.87,56.1,2025-01-04 08:30:00,Approved,BATCH-1217
90.92,145.12,44.62,2025-01-04 08:45:00,Approved,BATCH-9595
59.94,119.92,46.19,2025-01-04 09:00:00,Approved,BATCH-7650
57.86,130.03,55.18,2025-01-04 09:15:00,Approved,BATCH-4585
81.58,103.62,47.02,2025-01-04 09:30:00,Approved,BATCH-1968
77.92,114.19,54.5,2025-01-04 09:45:00,Approved,BATCH-7297
76.24,130.43,58.5,2025-01-04 10:00:00,Approved,BATCH-6786
76.28,132.74,47.99,2025-01-04 10:15:00,Approved,BATCH-3552
69.88,115.59,53.41,2025-01-04 10:30:00,Approved,BATCH-7004
61.03,118.93,44.23,2025-01-04 10:45:00,Approved,BATCH-9901
70.76,97.23,53.77,2025-01-04 11:00:00,Approved,BATCH-3916
63.23,114.64,51.0,2025-01-04 11:15:00,Approved,BATCH-7471
79.75,133.36,52.37,2025-01-04 11:30:00,Approved,BATCH-5585
68.53,128.63,46.77,2025-01-04 11:45:00,Approved,BATCH-9974
61.75,127.51,41.69,2025-01-04 12:00:00,Approved,BATCH-9995
66.79,120.75,52.52,2025-01-04 12:15:00,Approved,BATCH-9625
74.13,120.11,39.68,2025-01-04 12:30:00,Approved,BATCH-2313
64.36,110.1,48.41,2025-01-04 12:45:00,Approved,BATCH-5244
61.78,130.48,54.71,2025-01-04 13:00:00,Approved,BATCH-3244
72.44,126.31,50.96,2025-01-04 13:15:00,Approved,BATCH-2944
72.45,127.38,59.74,2025-01-04 13:30:00,Approved,BATCH-6254
64.93,112.11,55.13,2025-01-04 13:45:00,Approved,BATCH-6705
65.29,87.7,46.73,2025-01-04 14:00:00,Defective (Low Pressure),BATCH-4657
72.32,136.46,50.14,2025-01-04 14:15:00,Approved,BATCH-4806
55.52,112.82,49.76,2025-01-04 14:30:00,Approved,BATCH-2605
55.93,107.06,42.09,2025-01-04 14:45:00,Approved,BATCH-9088
62.82,130.4,45.3,2025-01-04 15:00:00,Approved,BATCH-8219
67.87,114.12,47.2,2025-01-04 15:15:00,Approved,BATCH-3364
73.11,135.9,39.82,2025-01-04 15:30:00,Approved,BATCH-8135
84.75,129.26,50.24,2025-01-04 15:45:00,Approved,BATCH-1722
78.58,130.25,48.75,2025-01-04 16:00:00,Approved,BATCH-3792
68.4,99.51,41.64,2025-01-04 16:15:00,Approved,BATCH-8867
69.81,138.18,52.02,2025-01-04 16:30:00,Approved,BATCH-2508
59.97,123.92,53.58,2025-01-04 16:45:00,Approved,BATCH-1225
69.81,114.46,51.14,2025-01-04 17:00:00,Approved,BATCH-4932
67.11,122.15,48.38,2025-01-04 17:15:00,Approved,BATCH-9683
73.23,93.36,52.96,2025-01-04 17:30:00,Approved,BATCH-4870
61.73,126.13,53.4,2025-01-04 17:45:00,Approved,BATCH-4482
75.19,104.56,51.54,2025-01-04 18:00:00,Approved,BATCH-2074
85.33,99.71,45.88,2025-01-04 18:15:00,Approved,BATCH-8595
68.91,97.16,51.38,2025-01-04 18:30:00,Approved,BATCH-7825
74.02,136.69,55.98,2025-01-04 18:45:00,Approved,BATCH-2918
76.9,110.56,47.02,2025-01-04 19:00:00,Approved,BATCH-2226
65.99,143.01,60.49,2025-01-04 19:15:00,Approved,BATCH-2536
72.24,111.96,47.37,2025-01-04 19:30:00,Approved,BATCH-4813
70.13,94.39,50.16,2025-01-04 19:45:00,Approved,BATCH-7192
70.98,103.25,46.64,2025-01-04 20:00:00,Approved,BATCH-2161
62.27,138.54,51.12,2025-01-04 20:15:00,Approved,BATCH-8613
70.25,117.66,41.29,2025-01-04 20:30:00,Approved,BATCH-1805
74.98,111.78,47.27,2025-01-04 20:45:00,Approved,BATCH-7360
84.51,122.4,44.54,2025-01-04 21:00:00,Approved,BATCH-8297
79.59,127.53,50.68,2025-01-04 21:15:00,Approved,BATCH-1776
